Primary,Census,Count
ASSAULT,571.0,22.0
ASSAULT,572.0,99.0
ASSAULT,573.0,64.0
ASSAULT,574.0,46.0
ASSAULT,575.0,34.0
ASSAULT,576.0,2.0
ASSAULT,577.0,18.0
ASSAULT,578.0,18.0
ASSAULT,579.0,10.0
ASSAULT,580.0,56.0
ASSAULT,581.0,14.0
ASSAULT,582.0,20.0
ASSAULT,583.0,15.0
ASSAULT,584.0,98.0
ASSAULT,585.0,56.0
ASSAULT,586.0,4.0
ASSAULT,587.0,3.0
ASSAULT,588.0,6.0
ASSAULT,589.0,5.0
ASSAULT,590.0,7.0
ASSAULT,591.0,10.0
ASSAULT,592.0,32.0
ASSAULT,593.0,47.0
ASSAULT,594.0,26.0
ASSAULT,595.0,24.0
ASSAULT,596.0,37.0
ASSAULT,597.0,46.0
ASSAULT,598.0,16.0
ASSAULT,599.0,56.0
ASSAULT,600.0,25.0
ASSAULT,601.0,12.0
ASSAULT,602.0,20.0
ASSAULT,603.0,11.0
ASSAULT,604.0,11.0
ASSAULT,605.0,5.0
ASSAULT,606.0,5.0
ASSAULT,607.0,10.0
ASSAULT,608.0,36.0
ASSAULT,609.0,2.0
ASSAULT,610.0,3.0
ASSAULT,611.0,18.0
ASSAULT,612.0,8.0
ASSAULT,613.0,7.0
ASSAULT,614.0,1.0
ASSAULT,615.0,5.0
ASSAULT,616.0,3.0
ASSAULT,617.0,8.0
ASSAULT,618.0,58.0
ASSAULT,619.0,22.0
ASSAULT,620.0,13.0
ASSAULT,621.0,1.0
ASSAULT,622.0,1.0
ASSAULT,623.0,9.0
ASSAULT,625.0,5.0
ASSAULT,626.0,15.0
ASSAULT,627.0,3.0
ASSAULT,628.0,13.0
ASSAULT,629.0,3.0
ASSAULT,630.0,9.0
ASSAULT,631.0,25.0
ASSAULT,632.0,10.0
ASSAULT,633.0,6.0
ASSAULT,634.0,22.0
ASSAULT,635.0,10.0
ASSAULT,636.0,14.0
ASSAULT,637.0,7.0
ASSAULT,638.0,14.0
ASSAULT,639.0,18.0
ASSAULT,640.0,16.0
ASSAULT,641.0,14.0
ASSAULT,642.0,44.0
ASSAULT,643.0,20.0
ASSAULT,644.0,2.0
ASSAULT,645.0,1.0
ASSAULT,646.0,4.0
ASSAULT,647.0,1.0
ASSAULT,649.0,3.0
ASSAULT,650.0,3.0
ASSAULT,651.0,2.0
ASSAULT,652.0,29.0
ASSAULT,653.0,4.0
ASSAULT,654.0,5.0
ASSAULT,655.0,1.0
ASSAULT,656.0,9.0
ASSAULT,657.0,7.0
ASSAULT,658.0,30.0
ASSAULT,659.0,29.0
ASSAULT,660.0,45.0
ASSAULT,661.0,1.0
ASSAULT,662.0,28.0
ASSAULT,663.0,39.0
ASSAULT,664.0,7.0
ASSAULT,665.0,6.0
ASSAULT,667.0,2.0
ASSAULT,668.0,12.0
ASSAULT,669.0,26.0
ASSAULT,670.0,33.0
ASSAULT,671.0,51.0
ASSAULT,672.0,50.0
ASSAULT,673.0,54.0
ASSAULT,674.0,87.0
ASSAULT,675.0,47.0
ASSAULT,676.0,15.0
ASSAULT,677.0,30.0
ASSAULT,678.0,2.0
ASSAULT,679.0,7.0
ASSAULT,680.0,9.0
ASSAULT,681.0,16.0
ASSAULT,682.0,7.0
ASSAULT,683.0,10.0
ASSAULT,684.0,4.0
ASSAULT,685.0,22.0
ASSAULT,686.0,8.0
ASSAULT,687.0,9.0
ASSAULT,688.0,12.0
ASSAULT,689.0,1.0
ASSAULT,690.0,4.0
ASSAULT,691.0,4.0
ASSAULT,692.0,7.0
ASSAULT,693.0,6.0
ASSAULT,694.0,45.0
ASSAULT,695.0,24.0
ASSAULT,696.0,102.0
ASSAULT,697.0,20.0
ASSAULT,698.0,4.0
ASSAULT,699.0,13.0
ASSAULT,700.0,2.0
ASSAULT,701.0,6.0
ASSAULT,702.0,49.0
ASSAULT,703.0,34.0
ASSAULT,704.0,28.0
ASSAULT,705.0,9.0
ASSAULT,706.0,47.0
ASSAULT,707.0,7.0
ASSAULT,708.0,19.0
ASSAULT,709.0,23.0
ASSAULT,710.0,2.0
ASSAULT,711.0,2.0
ASSAULT,712.0,6.0
ASSAULT,713.0,2.0
ASSAULT,714.0,27.0
ASSAULT,715.0,14.0
ASSAULT,716.0,39.0
ASSAULT,717.0,35.0
ASSAULT,718.0,13.0
ASSAULT,719.0,4.0
ASSAULT,720.0,7.0
ASSAULT,721.0,8.0
ASSAULT,722.0,11.0
ASSAULT,723.0,10.0
ASSAULT,724.0,1.0
ASSAULT,725.0,2.0
ASSAULT,726.0,8.0
ASSAULT,727.0,11.0
ASSAULT,728.0,2.0
ASSAULT,729.0,1.0
ASSAULT,730.0,6.0
ASSAULT,731.0,14.0
ASSAULT,732.0,25.0
ASSAULT,733.0,5.0
ASSAULT,734.0,4.0
ASSAULT,735.0,5.0
ASSAULT,736.0,47.0
ASSAULT,737.0,26.0
ASSAULT,738.0,16.0
ASSAULT,739.0,18.0
ASSAULT,740.0,42.0
ASSAULT,741.0,1.0
ASSAULT,742.0,1.0
ASSAULT,743.0,8.0
ASSAULT,744.0,5.0
ASSAULT,745.0,2.0
ASSAULT,746.0,7.0
ASSAULT,747.0,7.0
ASSAULT,748.0,11.0
ASSAULT,749.0,6.0
ASSAULT,750.0,24.0
ASSAULT,751.0,10.0
ASSAULT,752.0,41.0
ASSAULT,753.0,52.0
ASSAULT,754.0,9.0
ASSAULT,755.0,39.0
ASSAULT,756.0,14.0
ASSAULT,757.0,11.0
ASSAULT,758.0,6.0
ASSAULT,759.0,12.0
ASSAULT,760.0,22.0
ASSAULT,761.0,81.0
ASSAULT,762.0,6.0
ASSAULT,763.0,5.0
ASSAULT,764.0,21.0
ASSAULT,765.0,26.0
ASSAULT,766.0,15.0
ASSAULT,767.0,38.0
ASSAULT,768.0,18.0
ASSAULT,769.0,11.0
ASSAULT,770.0,3.0
ASSAULT,771.0,14.0
ASSAULT,772.0,34.0
ASSAULT,773.0,16.0
ASSAULT,774.0,12.0
ASSAULT,775.0,13.0
ASSAULT,776.0,23.0
ASSAULT,777.0,9.0
ASSAULT,778.0,32.0
ASSAULT,779.0,7.0
ASSAULT,780.0,8.0
ASSAULT,781.0,5.0
ASSAULT,782.0,3.0
ASSAULT,783.0,27.0
ASSAULT,784.0,16.0
ASSAULT,785.0,16.0
ASSAULT,786.0,12.0
ASSAULT,787.0,27.0
ASSAULT,788.0,23.0
ASSAULT,789.0,32.0
ASSAULT,790.0,25.0
ASSAULT,791.0,19.0
ASSAULT,792.0,15.0
ASSAULT,793.0,9.0
ASSAULT,794.0,10.0
ASSAULT,795.0,1.0
ASSAULT,796.0,1.0
ASSAULT,797.0,6.0
ASSAULT,798.0,3.0
ASSAULT,799.0,13.0
ASSAULT,800.0,46.0
ASSAULT,801.0,23.0
BATTERY,1.0,88.0
BATTERY,2.0,13.0
BATTERY,3.0,33.0
BATTERY,4.0,33.0
BATTERY,5.0,23.0
BATTERY,6.0,14.0
BATTERY,7.0,77.0
BATTERY,8.0,3.0
BATTERY,9.0,65.0
BATTERY,10.0,95.0
BATTERY,11.0,78.0
BATTERY,12.0,25.0
BATTERY,13.0,6.0
BATTERY,14.0,5.0
BATTERY,15.0,8.0
BATTERY,16.0,28.0
BATTERY,17.0,11.0
BATTERY,18.0,2.0
BATTERY,19.0,17.0
BATTERY,20.0,13.0
BATTERY,21.0,52.0
BATTERY,22.0,55.0
BATTERY,23.0,6.0
BATTERY,24.0,25.0
BATTERY,25.0,24.0
BATTERY,26.0,8.0
BATTERY,27.0,28.0
BATTERY,28.0,20.0
BATTERY,29.0,13.0
BATTERY,30.0,12.0
BATTERY,31.0,20.0
BATTERY,32.0,3.0
BATTERY,33.0,233.0
BATTERY,34.0,107.0
BATTERY,35.0,59.0
BATTERY,36.0,65.0
BATTERY,37.0,53.0
BATTERY,38.0,77.0
BATTERY,39.0,46.0
BATTERY,40.0,15.0
BATTERY,41.0,6.0
BATTERY,42.0,9.0
BATTERY,43.0,5.0
BATTERY,44.0,6.0
BATTERY,45.0,3.0
BATTERY,46.0,9.0
BATTERY,47.0,5.0
BATTERY,48.0,1.0
BATTERY,49.0,15.0
BATTERY,50.0,60.0
BATTERY,51.0,42.0
BATTERY,52.0,17.0
BATTERY,53.0,20.0
BATTERY,54.0,3.0
BATTERY,55.0,19.0
BATTERY,56.0,4.0
BATTERY,57.0,25.0
BATTERY,58.0,15.0
BATTERY,59.0,12.0
BATTERY,60.0,77.0
BATTERY,61.0,65.0
BATTERY,62.0,25.0
BATTERY,63.0,24.0
BATTERY,64.0,1.0
BATTERY,65.0,4.0
BATTERY,66.0,9.0
BATTERY,67.0,33.0
BATTERY,68.0,126.0
BATTERY,69.0,168.0
BATTERY,70.0,6.0
BATTERY,71.0,10.0
BATTERY,72.0,16.0
BATTERY,73.0,21.0
BATTERY,74.0,10.0
BATTERY,75.0,11.0
BATTERY,76.0,18.0
BATTERY,77.0,18.0
BATTERY,78.0,11.0
BATTERY,79.0,8.0
BATTERY,80.0,22.0
BATTERY,81.0,11.0
BATTERY,82.0,15.0
BATTERY,83.0,8.0
BATTERY,84.0,30.0
BATTERY,85.0,34.0
BATTERY,86.0,5.0
BATTERY,87.0,6.0
BATTERY,89.0,38.0
BATTERY,90.0,25.0
BATTERY,91.0,19.0
BATTERY,92.0,112.0
BATTERY,93.0,9.0
BATTERY,94.0,3.0
BATTERY,95.0,4.0
BATTERY,96.0,54.0
BATTERY,97.0,69.0
BATTERY,98.0,117.0
BATTERY,99.0,74.0
BATTERY,101.0,10.0
BATTERY,102.0,3.0
BATTERY,103.0,1.0
BATTERY,104.0,36.0
BATTERY,105.0,9.0
BATTERY,106.0,3.0
BATTERY,107.0,11.0
BATTERY,108.0,30.0
BATTERY,109.0,17.0
BATTERY,110.0,7.0
BATTERY,111.0,70.0
BATTERY,112.0,24.0
BATTERY,113.0,64.0
BATTERY,114.0,11.0
BATTERY,115.0,15.0
BATTERY,116.0,6.0
BATTERY,117.0,2.0
BATTERY,118.0,8.0
BATTERY,119.0,26.0
BATTERY,120.0,12.0
BATTERY,121.0,70.0
BATTERY,122.0,53.0
BATTERY,123.0,32.0
BATTERY,124.0,20.0
BATTERY,125.0,57.0
BATTERY,126.0,19.0
BATTERY,127.0,3.0
BATTERY,128.0,1.0
BATTERY,129.0,12.0
BATTERY,131.0,6.0
BATTERY,132.0,77.0
BATTERY,133.0,77.0
BATTERY,134.0,69.0
BATTERY,135.0,20.0
BATTERY,136.0,20.0
BATTERY,137.0,7.0
BATTERY,138.0,31.0
BATTERY,139.0,7.0
BATTERY,140.0,36.0
BATTERY,141.0,70.0
BATTERY,142.0,44.0
BATTERY,143.0,2.0
BATTERY,144.0,8.0
BATTERY,145.0,5.0
BATTERY,146.0,23.0
BATTERY,147.0,4.0
BATTERY,148.0,14.0
BATTERY,149.0,6.0
BATTERY,150.0,70.0
BATTERY,151.0,28.0
BATTERY,152.0,81.0
